Row 1 | Q: 질문 내용 | A: 답변 내용...
Row 2 | Q: 작년 서울대/의예과 합격 실적 알려줘 | A: 안녕하세요! 진해고등학교 공식 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  문의하신 **2026학년도 대입 주요 진학 실...
Row 3 | Q: 한양대 입학성적결과 | A: 안녕하세요! 진해고등학교 공식 입학 상담 챗봇입니다. 진해고등학교에 관심을 가져주셔서 감사합니다.  문의하신 **2026학년도 입시 결과(주요 ...
Row 4 | Q: 2027학년도 전형 일정 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  2027학년도 신입생 모집을 위한 주요 전형...
Row 5 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 진해고등학교에 관심을 가져주셔서 감사합니다! 기숙사(송학관/동백관) 선발 기준에 대해 안내해 드릴게요.  우리 학교 기숙사는 **중학교 3년간의...
Row 6 | Q: 장학금 종류와 혜택이 궁금해 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교의 장학 제도에 대해 관심 가져주셔서 감사합니다.  진해고등학교는 학생들의 꿈을...
Row 7 | Q: 작년 서울대/의예과 합격 실적 알려줘 | A: 안녕하세요! 진해고등학교 공식 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  문의하신 **2026학년도 대학 입시 주요 실...
Row 8 | Q: 작년 입시 결과 알려줘. 인서울 대학에 몇명이 진학헸는지 | A: 안녕하세요! 진해고등학교 공식 입학 상담 챗봇입니다.  우리 학교에 관심을 가져주셔서 감사합니다. 2026학년도 대입 주요 진학 실적은 다음과 ...
Row 9 | Q: 기숙사가 총 몇개야 | A: 안녕하세요! 진해고등학교 공식 입학 상담 챗봇입니다.  질문하신 **기숙사 수용 규모와 시설**에 대해 안내해 드릴게요.  진해고등학교 기숙사는...
Row 10 | Q: 진해고 교장 이름이 뭐야 | A: 문의하신 내용과 관련하여 안내드립니다.  죄송하지만, 요청하신 교장 선생님의 성함과 같은 학교 구성원의 개인 정보는 지식 베이스에 포함되어 있지...
Row 11 | Q: 이건 누가 만든거야 | A: 반갑습니다! 진해고등학교 입학 상담을 도와드리는 인공지능 챗봇입니다.  문의하신 내용과 관련하여 안내해 드립니다. 본 상담 자료 및 시스템은 진...
Row 12 | Q: 진해고 1학년은 몇반까지 잇어 | A: 진해고등학교 신입생 모집 요강에 따르면, **1학년은 총 10개 학급**으로 구성되어 있습니다.  추가로 궁금한 점이 있으시다면 언제든 말씀해 ...
Row 13 | Q: 진해남중학교 입학생이 작년에 몇명이었어 | A: 죄송합니다. 문의하신 **‘진해남중학교 입학생 수’**에 대한 정보는 현재 제가 가지고 있는 [진해고등학교 지식 베이스]에 포함되어 있지 않습니...
Row 14 | Q: 2027학년도 전형 일정 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  2027학년도 신입생 모집을 위한 주요 전형...
Row 15 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 안녕하세요! 진해고등학교 입학 상담 챗봇입니다. 우리 학교 기숙사 입소를 희망하시는군요.  기숙사(송학관/동백관) 선발 기준은 다음과 같습니다....
Row 16 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 안녕하세요! 진해고등학교 공식 입학 상담 챗봇입니다. 우리 학교 기숙사에 관심을 가져주셔서 감사합니다.  진해고등학교 기숙사(**송학관/동백관*...
Row 17 | Q: 입학 성적은 어느 정도 되어야 할까요? | A: 안녕하세요! 진해고등학교 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 진심으로 감사합니다.  신입생 선발 기준 및 성적과 관련하여 궁금...
Row 18 | Q: 최근 3년간 커트라인이 어떻게 되나요? | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  문의하신 **'최근 3년간의 커트라인'**에...
Row 19 | Q: 작년 서울대/의예과 합격 실적 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  문의하신 2026학년도 대입 주요 실적은 다...
Row 20 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 안녕하세요! 진해고등학교 입학 상담 챗봇입니다. 우리 학교 기숙사 입소에 관심을 가져주셔서 감사합니다.  진해고등학교 기숙사(송학관/동백관) 선...
Row 21 | Q: 작년 서울대/의예과 합격 실적 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  문의하신 **2026학년도 주요 대학 입시 ...
Row 22 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교 기숙사 입소를 고려하고 계시는군요. 기숙사 선발 기준에 대해 안내해 드릴게요....
Row 23 | Q: 작년 서울대/의예과 합격 실적 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  문의하신 **2026학년도 입시 실적(주요 ...
Row 24 | Q: 2027학년도 전형 일정 알려줘 | A: 안녕하세요! 진해고등학교 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  **2027학년도 신입생 모집 주요 전형 일정**을...
Row 25 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 안녕하세요! 진해고등학교 공식 입학 상담 챗봇입니다.   우리 학교 기숙사(송학관/동백관) 입소와 관련된 선발 기준에 대해 안내해 드릴게요.  ...
Row 26 | Q: 장학금 종류와 혜택이 궁금해 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교의 장학 제도에 대해 관심 가져주셔서 감사합니다.  진해고등학교는 학생들의 꿈을...
Row 27 | Q: 작년 서울대/의예과 합격 실적 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다.  우리 진해고등학교에 관심을 가져주셔서 감사합니다. 문의하신 **2026학년도 대입 주요...
Row 28 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교 기숙사 입소를 고려하고 계시는군요. 기숙사 선발 기준에 대해 안내해 드릴게요....
Row 29 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 진해고등학교 기숙사 입소를 고민하시는군요! 신입생 여러분의 꿈을 응원합니다.  질문하신 **기숙사(송학관/동백관) 선발 기준**에 대해 안내해 ...
Row 30 | Q: 장학금 종류와 혜택이 궁금해 | A: 반갑습니다! 진해고등학교 입학 상담 챗봇입니다. 우리 학교의 장학금 제도에 대해 궁금하시군요.  진해고등학교는 학생들의 꿈을 응원하기 위해 **...
Row 31 | Q: 2027학년도 전형 일정 알려줘 | A: 반갑습니다! 진해고등학교 입학 상담 챗봇입니다. 2027학년도 신입생이 되실 학생, 그리고 학부모님을 진심으로 환영합니다.  문의하신 **202...
Row 32 | Q: 장학금 종류와 혜택이 궁금해 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  진해고등학교는 학생들의 꿈을 응원하기 위해 ...
Row 33 | Q: 2027학년도 전형 일정 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  2027학년도 신입생 모집을 위한 주요 전형...
Row 34 | Q: 작년 서울대/의예과 합격 실적 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  문의하신 **2026학년도 주요 대학 입시 ...
Row 35 | Q: 작년 서울대/의예과 합격 실적 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  문의하신 **2026학년도 주요 대학 입시 ...
Row 36 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다.  우리 학교 기숙사 선발 기준에 대해 문의해 주셨군요. 소중한 자녀분의 입학을 고민하시는...
Row 37 | Q: 2027학년도 전형 일정 알려줘 | A: 반갑습니다! **진해고등학교** 입학 상담 챗봇입니다. 꿈을 향한 도전을 시작하는 예비 신입생 여러분과 학부모님을 진심으로 환영합니다.  202...
Row 38 | Q: 2027학년도 전형 일정 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  2027학년도 신입생 모집을 위한 주요 전형...
Row 39 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 안녕하세요! 진해고등학교 공식 입학 상담 챗봇입니다. 진해고의 기숙사(송학관/동백관) 선발 기준에 대해 안내해 드릴게요.  우리 학교 기숙사는 ...
Row 40 | Q: 장학금 종류와 혜택이 궁금해 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교의 장학금 혜택에 대해 궁금하시군요.  진해고등학교는 학생들의 꿈을 응원하기 위...
Row 41 | Q: 작년 서울대/의예과 합격 실적 알려줘 | A: 안녕하세요! 진해고등학교 공식 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  문의하신 **2026학년도 대학 입시 주요 실...
Row 42 | Q: 26년도 대학입결 | A: 안녕하세요! 진해고등학교 공식 입학 상담 챗봇입니다.  본교의 **2026학년도 대학 입시 주요 진학 실적**은 다음과 같습니다. 82년 전통의...
Row 43 | Q: 자율학습은 언제, 어디에서 해요? | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교의 자기주도학습 운영 방식에 대해 안내해 드릴게요.  진해고등학교의 자기주도학습...
Row 44 | Q: 기숙사가 아닌 학생들은 자율학습 못해요? | A: 반갑습니다! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  기숙사가 아닌 **통학생들의 자기주도학습(자...
Row 45 | Q: 26년도 입결 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  요청하신 **2026학년도 주요 대학 입시 ...
Row 46 | Q: 기숙사에 들어가면 자율학습은 기숙사 안에서만 해요? 교실에서는 안해요? | A: 진해고등학교에 관심을 가져주셔서 감사합니다! 기숙사 생활 중 자율학습 공간에 대해 궁금하시군요.  학생들의 학습 환경을 위해 다음과 같이 운영하...
Row 47 | Q: 2025입결 | A: 문의하신 **2026학년도 입시 실적**은 아래와 같습니다. 우리 진해고등학교는 매년 우수한 진학 성과를 내고 있습니다.  *   **서울대학교...
Row 48 | Q: 2025년도 입시 결과는 | A: 안녕하세요! 진해고등학교 입학 상담 챗봇입니다.  문의하신 **2025학년도 입시 결과**에 대해서는 현재 보유하고 있는 지식 베이스(2026학...
Row 49 | Q: 2027학년도 전형 일정 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  2027학년도 신입생 모집을 위한 주요 전형...
Row 50 | Q: 2027학년도 전형 일정 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 정말 감사합니다.  2027학년도 신입생 입학을 준비하시는...
Row 51 | Q: 작년 서울대/의예과 합격 실적 알려줘 | A: 안녕하세요! 진해고등학교 공식 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  질문하신 **2026학년도 입시 실적(주요 대...
Row 52 | Q: 장학금 종류와 혜택이 궁금해 | A: 안녕하세요! 진해고등학교 공식 입학 상담 챗봇입니다. 우리 학교의 장학 제도에 대해 관심을 가져주셔서 감사합니다.  진해고등학교는 학생들의 꿈을...
Row 53 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교 기숙사 입소를 고려하고 계시군요! 문의하신 기숙사 선발 기준에 대해 안내해 드...
Row 54 | Q: 2027학년도 전형 일정 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  2027학년도 신입생 모집을 위한 주요 전형...
Row 55 | Q: 2027학년도 전형 일정 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  2027학년도 신입생 모집을 위한 주요 전형...
Row 56 | Q: 2027학년도 전형 일정 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  2027학년도 신입생 모집을 위한 주요 전형...
Row 57 | Q: 2027학년도 전형 일정 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  2027학년도 신입생 모집을 위한 주요 전형...
Row 58 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 반갑습니다! 진해고등학교 입학 상담 챗봇입니다. 우리 학교 기숙사 선발 기준에 대해 안내해 드릴게요.  기숙사(송학관/동백관) 입소 대상자는 *...
Row 59 | Q: 장학금 종류와 혜택이 궁금해 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교의 장학 제도에 대해 관심 가져주셔서 감사합니다.  진해고등학교는 학생들의 꿈을...
Row 60 | Q: 작년 서울대/의예과 합격 실적 알려줘 | A: 반갑습니다! 진해고등학교 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  문의하신 **2026학년도 대학 입시 주요 실적**...
Row 61 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다.  우리 학교 기숙사(송학관/동백관) 선발 기준에 대해 안내해 드릴게요.  기숙사 선발은 ...
Row 62 | Q: 장학금 종류와 혜택이 궁금해 | A: 안녕하세요! 진해고등학교 공식 입학 상담 챗봇입니다. 우리 학교의 장학 제도에 대해 궁금하시군요.  진해고등학교는 우리 학생들의 꿈을 응원하기 ...
Row 63 | Q: 작년 서울대/의예과 합격 실적 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교의 진학 결과에 관심을 가져주셔서 감사합니다.  2026학년도 입시 결과, 주요...
Row 64 | Q: 2027학년도 전형 일정 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  2027학년도 신입생 모집을 위한 주요 전형...
Row 65 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 안녕하세요! 진해고등학교 공식 입학 상담 챗봇입니다. 우리 학교 기숙사 입소를 고려하고 계시는군요.  기숙사(송학관/동백관) 선발 기준에 대해 ...
Row 66 | Q: 장학금 종류와 혜택이 궁금해 | A: 안녕하세요! 진해고등학교 공식 입학 상담 챗봇입니다. 우리 학교의 장학 제도에 대해 관심을 가져주셔서 감사합니다.  진해고등학교는 학생들의 학업...
Row 67 | Q: 2027학년도 전형 일정 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  2027학년도 신입생 모집을 위한 주요 전형...
Row 68 | Q: 2027학년도 전형 일정 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  2027학년도 신입생 모집을 위한 주요 전형...
Row 69 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교의 기숙사 선발 기준에 대해 문의해주셨군요. 친절히 안내해 드릴게요!  진해고등...
Row 70 | Q: 2027학년도 전형 일정 알려줘 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교에 관심을 가져주셔서 감사합니다.  2027학년도 신입생 모집을 위한 주요 전형...
Row 71 | Q: 기숙사 선발 기준이 어떻게 돼? | A: 안녕하세요! 진해고등학교 공식 입학 상담 챗봇입니다.   우리 학교 기숙사(송학관/동백관) 선발 기준에 대해 안내해 드릴게요.  기숙사는 **중...
Row 72 | Q: 장학금 종류와 혜택이 궁금해 | A: 안녕하세요! **진해고등학교** 입학 상담 챗봇입니다. 우리 학교의 장학 제도에 대해 관심을 가져주셔서 감사합니다.  진해고등학교는 학생들의 꿈...
